language,label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
I506,s8188538,+,+,+,+,+,-,-,+,+,+,+,-,-,+,-,-,+,+,+,+,-,+,-
I506,s3636989,-,+,+,-,+,+,+,-,+,+,+,+,+,+,-,+,+,+,+,+,+,-,+
I506,s7303283,+,+,-,+,+,+,+,-,+,+,+,-,-,-,-,-,+,+,+,-,-,+,+
I506,s538132,-,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,-,-,+,-,+,-,-
I506,s2649726,-,+,-,+,-,-,-,-,+,+,-,+,+,+,-,-,+,+,+,+,+,+,-
I506,s5964802,+,-,+,+,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-
I506,s842357,-,-,-,+,+,-,-,+,+,-,+,+,-,+,-,-,+,+,+,-,+,-,+
I506,s1019916,-,-,-,+,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-
I506,s3553940,-,+,+,-,+,+,-,-,-,+,+,+,-,+,-,+,-,-,+,-,+,-,-
I506,s7275485,+,+,-,+,+,+,+,-,-,-,-,-,-,+,+,+,+,-,+,+,+,-,+
I506,s966336,-,-,-,+,+,+,-,+,-,+,+,+,+,+,-,+,+,-,-,-,-,-,-
I506,s2260501,-,+,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,+,-,+,-,+
I506,s3471955,-,+,+,-,+,-,-,+,+,+,+,+,-,+,-,-,+,-,+,-,-,+,+
I506,s7531464,+,+,+,-,-,+,-,+,+,+,-,+,-,+,+,+,+,-,-,+,-,-,-
I506,s6370736,+,+,-,-,-,-,+,-,-,+,+,-,+,-,+,+,-,+,+,-,-,-,-
I506,s7939539,+,+,+,+,-,-,+,-,-,+,-,-,+,-,+,+,+,-,+,-,-,+,+
I506,s3300929,-,+,+,-,-,+,-,-,+,-,+,+,+,+,-,-,+,-,-,-,-,-,+
I506,s6830720,+,+,-,+,-,-,-,-,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-
I506,s6572796,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,+,+,+,+,+,+,-,-
I506,s4789930,+,-,-,+,-,-,+,-,-,-,+,-,+,+,-,+,-,+,-,+,-,+,-
I506,s3082806,-,+,-,+,+,+,+,-,-,-,-,+,-,+,-,-,-,+,+,-,+,+,-
I506,s1136678,-,-,+,-,-,-,+,-,+,-,+,+,-,-,-,-,-,+,-,-,+,+,-
I506,s4711105,+,-,-,-,+,+,+,+,+,+,-,-,-,+,-,+,+,-,-,-,-,-,+
I507,s5204058,+,-,-,+,+,+,+,-,+,+,-,+,-,-,-,-,+,-,+,+,-,+,-
I507,s4631724,+,-,-,-,+,+,-,+,-,+,-,+,+,-,-,+,-,+,-,+,+,-,-
I507,s2961012,-,+,-,+,+,-,+,-,-,+,-,+,+,+,-,-,+,+,+,-,+,-,-
I507,s7296626,+,+,-,+,+,+,+,-,+,-,+,-,+,+,-,-,+,+,+,-,-,+,-
I507,s1279878,-,-,+,-,-,+,+,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-
I507,s2655968,-,+,-,+,-,-,-,+,-,-,-,-,+,+,-,+,+,+,-,-,-,-,-
I507,s623531,-,-,-,+,-,-,+,+,-,-,-,-,-,+,+,+,-,+,-,+,-,+,+
I507,s2609358,-,+,-,-,+,+,+,+,+,-,+,-,-,-,-,+,+,-,-,+,+,+,-
I507,s859008,-,-,-,+,+,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-
I507,s3754191,-,+,+,+,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,+,+,+,+
I507,s1980764,-,-,+,+,+,+,-,-,-,+,+,+,-,-,+,-,+,-,+,+,+,-,-
I507,s263477,-,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,+
I507,s7130041,+,+,-,+,+,-,-,+,+,-,-,+,-,+,+,+,-,+,+,+,-,-,+
I507,s510179,-,-,-,-,+,+,+,+,+,-,-,+,-,-,-,+,+,+,-,-,-,+,+
I507,s8348981,+,+,+,+,+,+,+,-,+,+,-,-,+,-,+,-,-,+,+,-,+,-,+
I507,s3240090,-,+,+,-,-,-,+,-,+,+,+,-,-,-,-,+,-,-,+,+,-,+,-
I507,s5843931,+,-,+,+,-,-,+,-,-,+,-,+,-,+,+,+,+,-,+,+,-,+,+
I507,s704093,-,-,-,+,-,+,-,+,-,+,+,+,+,+,-,-,+,-,+,+,+,-,+
I507,s7692873,+,+,+,-,+,-,+,-,+,+,-,-,-,+,-,-,+,-,-,+,-,-,+
I507,s5813686,+,-,+,+,-,-,-,+,-,+,+,-,+,-,+,+,-,+,+,-,+,+,-
I507,s193538,-,-,-,-,-,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,+,-
I507,s7077444,+,+,-,+,-,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,+,-,-
I507,s1685985,-,-,+,+,-,-,+,+,-,+,+,+,-,-,+,+,+,+,-,-,-,-,+
I507,s1310718,-,-,+,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-
I507,s5186084,+,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,-,+,-,-,+,-,-
I507,s3812432,-,+,+,+,-,+,-,-,-,+,-,+,+,-,-,-,+,-,+,-,-,-,-
I507,s4295997,+,-,-,-,-,-,+,+,-,-,-,+,+,-,+,-,-,+,+,+,+,-,+
I507,s2419000,-,+,-,-,+,-,-,+,+,+,-,+,-,-,+,-,-,+,+,+,-,-,-
I507,s7514670,+,+,+,-,-,+,-,+,-,+,-,+,-,+,-,-,-,+,-,+,+,+,-
I507,s561109,-,-,-,+,-,-,-,+,-,-,-,+,+,+,+,+,+,-,+,-,+,-,+
I507,s3247989,-,+,+,-,-,-,+,+,-,-,-,+,+,+,+,-,+,+,+,-,+,-,+
I507,s1162353,-,-,+,-,-,-,+,+,-,+,+,+,+,-,-,-,+,+,+,-,-,-,+
I507,s4674375,+,-,-,-,+,+,+,-,+,-,+,-,-,+,+,-,+,-,-,-,+,+,+
I507,s3350468,-,+,+,-,-,+,+,-,-,-,+,+,+,+,+,+,+,-,-,-,+,-,-
I507,s5087206,+,-,-,+,+,-,+,+,-,-,+,+,+,+,+,+,+,+,-,-,+,+,-
I507,s2977206,-,+,-,+,+,-,+,-,+,+,-,+,+,-,+,+,-,+,+,-,+,+,-
I507,s4367361,+,-,-,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,+
I507,s4115572,-,+,+,+,+,+,-,+,+,-,-,+,+,-,-,-,+,+,+,-,+,-,-
I507,s3134538,-,+,-,+,+,+,+,+,+,-,+,-,+,-,-,-,+,-,-,+,-,+,-
I508,s6078865,+,-,+,+,+,-,-,+,+,-,-,-,-,-,+,+,-,-,+,-,-,-,+
I508,s975618,-,-,-,+,+,+,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,+,-
I508,s5764070,+,-,+,-,+,+,+,+,+,+,+,-,-,+,+,+,+,+,-,-,+,+,-
I508,s1916635,-,-,+,+,+,-,+,-,-,+,+,+,+,+,-,+,+,-,+,+,-,+,+
I508,s8295195,+,+,+,+,+,+,-,+,-,-,+,-,-,+,+,-,-,-,+,+,-,+,+
I508,s7506787,+,+,+,-,-,+,-,+,-,-,-,+,-,+,+,-,+,+,-,-,-,+,+
I508,s6766266,+,+,-,-,+,+,+,-,-,+,+,+,+,+,-,+,-,+,+,+,-,+,-
I508,s2525796,-,+,-,-,+,+,-,+,-,-,-,+,-,+,-,-,+,+,-,-,+,-,-
I508,s4665722,+,-,-,-,+,+,+,-,-,+,+,-,-,-,+,-,+,+,+,+,-,+,-
I508,s6963538,+,+,-,+,-,+,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-
I508,s6978352,+,+,-,+,-,+,-,-,+,+,+,+,-,+,+,-,-,+,+,-,-,-,-
I508,s1631431,-,-,+,+,-,-,-,+,+,+,-,-,+,-,-,+,+,-,-,-,+,+,+
I508,s566462,-,-,-,+,-,-,-,+,-,+,-,-,+,-,-,+,-,+,+,+,+,+,-
I508,s4866458,+,-,-,+,-,+,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,+,-
I508,s2744137,-,+,-,+,-,-,+,+,+,-,+,+,+,+,+,-,+,-,-,+,-,-,+
I508,s5078163,+,-,-,+,+,-,+,-,+,+,+,+,+,-,-,+,-,-,+,-,-,+,+
I508,s5050705,+,-,-,+,+,-,+,-,-,-,+,-,-,-,+,-,+,-,+,-,-,-,+
I508,s3010311,-,+,-,+,+,-,+,+,+,+,-,+,+,+,+,-,-,-,-,-,+,+,+
I508,s427374,-,-,-,-,+,+,-,+,-,-,-,-,+,-,+,-,+,+,-,+,+,+,-
I508,s2206276,-,+,-,-,-,-,+,+,-,+,-,+,-,+,-,-,+,-,-,-,+,-,-
I508,s7960705,+,+,+,+,-,-,+,-,+,+,+,+,-,-,-,+,-,-,-,-,-,-,+
I508,s5479457,+,-,+,-,-,+,+,+,-,-,+,+,+,-,-,-,-,+,-,-,-,-,+
I508,s4131947,-,+,+,+,+,+,+,-,-,-,-,+,+,-,-,-,+,+,-,+,-,+,+
I508,s758869,-,-,-,+,-,+,+,+,-,-,+,-,+,-,-,-,+,-,+,-,+,-,+
I508,s1440432,-,-,+,-,+,-,+,+,+,+,+,+,-,+,-,+,-,+,+,-,-,-,-
I508,s5173467,+,-,-,+,+,+,-,+,+,+,+,-,-,-,-,+,+,-,+,+,-,+,+
I508,s161183,-,-,-,-,-,+,-,-,+,+,+,-,+,-,+,+,-,-,+,+,+,+,+
I508,s5007796,+,-,-,+,+,-,-,-,+,+,-,+,-,-,+,+,-,+,+,-,+,-,-
I508,s6461869,+,+,-,-,-,+,-,+,-,-,+,+,-,-,+,+,-,+,-,+,+,-,+
I508,s689277,-,-,-,+,-,+,-,+,-,-,-,-,+,-,-,-,+,+,+,+,+,-,+
I508,s6627468,+,+,-,-,+,-,+,-,-,+,-,-,-,-,-,+,-,-,-,+,+,-,-
I508,s6434516,+,+,-,-,-,+,-,-,-,+,-,+,+,+,-,+,+,-,+,-,+,-,-
I508,s4896934,+,-,-,+,-,+,-,+,-,+,+,+,-,-,-,+,-,+,-,-,+,+,-
I508,s5774478,+,-,+,+,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,+,+,+,-
I508,s6920922,+,+,-,+,-,-,+,+,-,-,+,+,-,+,-,+,+,-,+,+,-,+,-
I508,s6245767,+,-,+,+,+,+,+,-,+,-,-,+,+,-,+,+,-,-,-,-,+,+,+
I508,s2383170,-,+,-,-,+,-,-,-,+,-,+,+,+,-,+,-,+,-,-,-,-,+,-
I508,s5233861,+,-,-,+,+,+,+,+,+,-,+,+,+,-,-,+,+,-,-,-,+,-,+
I508,s6497570,+,+,-,-,-,+,+,-,-,+,-,-,+,-,+,-,-,+,-,-,-,+,-
I508,s7365118,+,+,+,-,-,-,-,-,+,+,-,-,-,-,+,+,+,+,+,+,+,+,-
I509,s2669987,-,+,-,+,-,-,-,+,-,+,+,+,+,-,+,+,-,+,-,-,-,+,+
I509,s7988325,+,+,+,+,-,-,+,+,+,+,-,-,+,-,-,-,+,+,-,-,+,-,+
I509,s5842961,+,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,+
I509,s1226375,-,-,+,-,-,+,-,+,-,+,+,-,+,+,-,+,-,-,-,-,+,+,+
I509,s2671887,-,+,-,+,-,-,-,+,+,-,-,-,+,-,+,-,-,-,-,+,+,+,+
I509,s926320,-,-,-,+,+,+,-,-,-,+,-,-,-,+,-,-,+,+,+,-,-,-,-
I509,s6713753,+,+,-,-,+,+,-,-,+,+,+,-,-,-,+,+,-,-,+,+,-,-,+
I509,s7210667,+,+,-,+,+,+,-,-,-,-,-,-,+,+,-,+,-,+,-,+,-,+,+
I509,s5521298,+,-,+,-,+,-,-,-,-,+,+,+,+,+,+,+,-,-,+,-,-,+,-
I509,s5468736,+,-,+,-,-,+,+,-,+,+,+,-,-,+,-,-,+,-,-,-,-,-,-
I509,s4446266,+,-,-,-,-,+,+,+,+,-,+,+,-,-,-,-,-,+,+,+,-,+,-
I509,s5344050,+,-,+,-,-,-,+,+,-,-,-,+,-,+,+,-,-,+,+,-,-,+,-
I509,s1328461,-,-,+,-,+,-,-,-,+,-,-,-,+,-,+,-,+,-,-,+,+,-,+
I509,s8185784,+,+,+,+,+,-,-,+,+,+,-,-,+,+,+,+,-,+,+,+,-,-,-
I509,s714656,-,-,-,+,-,+,-,+,+,+,-,-,+,+,+,+,-,+,-,-,-,-,-
I509,s4996164,+,-,-,+,+,-,-,-,-,+,+,+,+,-,-,-,+,-,-,-,+,-,-
I509,s3627019,-,+,+,-,+,+,+,-,+,-,+,+,-,-,-,-,-,-,-,+,-,+,+
I509,s4347157,+,-,-,-,-,+,-,-,+,-,+,-,+,-,+,-,-,-,+,-,+,-,+
I509,s1669561,-,-,+,+,-,-,+,-,+,+,+,+,-,-,+,+,-,+,+,+,-,-,+
I509,s547161,-,-,-,+,-,-,-,-,+,-,+,+,-,-,+,-,+,-,+,+,-,-,+
I509,s2087481,-,-,+,+,+,+,+,+,+,-,+,+,-,+,-,-,-,+,+,+,-,-,+
I509,s1309681,-,-,+,-,-,+,+,+,+,+,+,+,-,+,+,+,+,+,+,-,-,-,+
I509,s2582887,-,+,-,-,+,+,+,-,+,+,-,+,-,-,+,-,+,+,-,-,+,+,+
I509,s3257716,-,+,+,-,-,-,+,+,-,+,+,-,+,-,+,-,+,+,+,-,+,-,-
I509,s341605,-,-,-,-,+,-,+,-,-,+,+,-,+,+,-,-,+,+,-,-,+,-,+
I509,s7729213,+,+,+,-,+,-,+,+,+,+,+,-,-,-,-,-,-,+,+,+,+,-,+
I509,s7072372,+,+,-,+,-,+,+,+,+,+,-,+,-,+,-,-,+,+,+,-,+,-,-
I509,s1225451,-,-,+,-,-,+,-,+,-,+,+,-,-,+,-,+,+,+,-,+,-,+,+
I509,s3260535,-,+,+,-,-,-,+,+,+,-,-,-,-,-,-,-,+,+,+,-,+,+,+
I509,s3966117,-,+,+,+,+,-,-,+,-,-,-,-,+,-,-,+,-,+,-,-,+,-,+
I509,s1636259,-,-,+,+,-,-,-,+,+,+,+,-,+,+,+,+,-,+,-,-,-,+,+
I509,s3938921,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,-,+,+,-,+,-,-,+
I509,s4122175,-,+,+,+,+,+,-,+,+,+,-,-,+,+,-,-,-,+,+,+,+,+,+
I509,s2188568,-,+,-,-,-,-,+,-,+,+,-,-,+,-,+,-,-,-,+,+,-,-,-
I509,s3405578,-,+,+,-,-,+,+,+,+,+,+,-,+,+,+,-,-,-,-,+,-,+,-
I509,s2178695,-,+,-,-,-,-,+,-,-,+,+,+,+,+,-,+,-,-,-,-,+,+,+
I509,s3844435,-,+,+,+,-,+,-,+,-,+,-,+,-,-,+,-,+,-,+,-,-,+,+
I509,s5277644,+,-,+,-,-,-,-,+,-,-,-,-,+,+,+,+,+,-,-,+,+,-,-
I509,s7114958,+,+,-,+,+,-,-,+,-,-,+,-,-,-,-,+,+,-,-,+,+,+,-
I509,s7648648,+,+,+,-,+,-,-,+,-,+,+,-,+,-,+,+,-,-,-,+,-,-,-
I510,s3257144,-,+,+,-,-,-,+,+,-,+,+,-,-,+,+,-,-,+,+,+,-,-,-
I510,s7049490,+,+,-,+,-,+,+,+,-,-,+,-,-,-,+,-,-,-,+,-,-,+,-
I510,s1614128,-,-,+,+,-,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-
I510,s6063378,+,-,+,+,+,-,-,+,-,-,-,-,+,-,+,-,-,-,+,-,-,+,-
I510,s1242823,-,-,+,-,-,+,-,+,+,+,+,-,+,+,-,+,+,-,-,-,+,+,+
I510,s7048232,+,+,-,+,-,+,+,+,-,-,-,+,+,-,-,-,-,+,-,+,-,-,-
I510,s1517087,-,-,+,-,+,+,+,-,-,+,-,-,+,+,-,-,-,-,+,+,+,+,+
I510,s2568366,-,+,-,-,+,+,+,-,-,+,+,-,-,-,-,+,-,+,-,+,+,+,-
I510,s7913290,+,+,+,+,-,-,-,+,-,+,+,+,+,+,+,-,+,-,-,+,-,+,-
I510,s3869833,-,+,+,+,-,+,+,-,-,-,-,+,+,-,-,+,-,-,-,+,-,-,+
I510,s6259888,+,-,+,+,+,+,+,+,-,-,-,-,+,-,-,+,-,+,+,-,-,-,-
I510,s7766344,+,+,+,-,+,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-
I510,s1717538,-,-,+,+,-,+,-,-,-,+,+,-,+,-,+,-,-,+,-,-,-,+,-
I510,s7472618,+,+,+,-,-,+,-,-,-,-,-,-,+,-,+,+,+,+,-,+,-,+,-
I510,s4727244,+,-,-,+,-,-,-,-,-,+,-,-,-,-,+,+,+,-,-,+,+,-,-
I510,s4729532,+,-,-,+,-,-,-,-,-,+,-,+,-,+,-,+,-,+,+,+,+,-,-
I510,s1656069,-,-,+,+,-,-,+,-,+,-,-,-,+,-,+,-,-,-,-,-,+,-,+
I510,s313419,-,-,-,-,+,-,-,+,+,-,-,+,-,-,-,-,+,-,-,+,-,+,+
I510,s5326985,+,-,+,-,-,-,+,-,+,-,-,+,-,-,-,+,-,-,-,+,-,-,+
I510,s4753647,+,-,-,+,-,-,-,+,-,-,-,+,-,-,-,+,+,+,-,+,+,+,+
I510,s4427618,+,-,-,-,-,+,+,+,-,-,-,+,+,+,+,-,+,+,-,-,-,+,-
I510,s822301,-,-,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,+,+,+,-,+
I510,s5446523,+,-,+,-,-,+,+,-,-,-,+,+,-,+,+,-,+,+,+,+,-,+,+
I510,s2327650,-,+,-,-,-,+,+,+,-,-,-,-,+,-,-,-,+,+,-,-,-,+,-
I510,s7760564,+,+,+,-,+,+,-,-,+,+,-,+,-,+,-,+,-,+,+,-,+,-,-
I510,s6035608,+,-,+,+,+,-,-,-,-,-,+,+,-,-,-,+,-,-,+,+,-,-,-
I510,s2940840,-,+,-,+,+,-,-,+,+,-,+,+,+,+,+,+,-,+,-,+,-,-,-
I510,s617662,-,-,-,+,-,-,+,-,+,+,-,+,+,-,-,+,-,+,+,+,+,+,-
I510,s2530597,-,+,-,-,+,+,-,+,-,-,+,+,+,-,+,-,-,+,-,-,+,-,+
I510,s4553634,+,-,-,-,+,-,+,-,+,+,+,+,-,+,+,+,-,+,-,-,-,+,-
I510,s2371826,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,+,+,+,+,-,-,+,-
I510,s7846289,+,+,+,-,+,+,+,+,-,+,+,+,-,-,+,+,-,-,+,-,-,-,+
I510,s1857778,-,-,+,+,+,-,-,-,+,-,+,+,-,-,-,+,+,+,+,-,-,+,-
I510,s4637225,+,-,-,-,+,+,-,+,+,-,-,-,-,+,-,-,-,+,-,+,-,-,+
I510,s31244,-,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,+,+,-,-
I510,s7727070,+,+,+,-,+,-,+,+,+,+,-,-,+,+,+,+,+,-,+,+,+,+,-
I510,s7288915,+,+,-,+,+,+,+,-,-,+,+,+,-,-,-,-,+,-,+,-,-,+,+
I510,s941954,-,-,-,+,+,+,-,-,+,-,+,+,+,+,+,+,-,-,-,-,-,+,-
I510,s1616820,-,-,+,+,-,-,-,+,-,+,-,+,-,+,+,+,-,+,+,-,+,-,-
I510,s4714494,+,-,-,-,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,-
I511,s5344165,+,-,+,-,-,-,+,+,-,-,-,+,-,+,+,+,-,+,-,-,+,-,+
I511,s5816102,+,-,+,+,-,-,-,+,-,+,+,+,+,+,+,-,-,+,-,-,+,+,-
I511,s2947101,-,+,-,+,+,-,-,+,+,+,+,+,-,-,-,-,-,-,+,+,+,-,+
I511,s2004202,-,-,+,+,+,+,-,+,-,-,+,-,+,-,-,+,+,+,-,+,-,+,-
I511,s855345,-,-,-,+,+,-,+,-,-,-,-,+,+,-,+,-,-,+,+,-,-,-,+
I511,s5807517,+,-,+,+,-,-,-,+,-,-,+,+,+,-,+,+,-,-,+,+,+,-,+
I511,s4046713,-,+,+,+,+,-,+,+,-,+,+,+,+,+,+,-,+,+,+,+,-,-,+
I511,s3296094,-,+,+,-,-,+,-,-,+,-,-,+,-,+,+,-,+,-,+,+,+,+,-
I511,s7331826,+,+,-,+,+,+,+,+,+,-,+,+,+,+,+,+,+,+,+,-,-,+,-
I511,s5308978,+,-,+,-,-,-,+,-,-,-,-,-,-,+,-,-,-,+,+,-,-,+,-
I511,s7188695,+,+,-,+,+,-,+,+,-,+,+,-,-,-,-,+,+,-,+,-,+,+,+
I511,s3537086,-,+,+,-,+,-,+,+,+,+,+,+,-,-,-,+,-,+,+,+,+,+,-
I511,s5783242,+,-,+,+,-,-,-,-,-,+,+,+,+,+,-,+,+,-,-,+,-,+,-
I511,s5240793,+,-,-,+,+,+,+,+,+,+,+,-,+,+,+,+,+,-,+,+,-,-,+
I511,s2981900,-,+,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-
I511,s1913141,-,-,+,+,+,-,+,-,-,+,+,-,-,-,+,-,-,+,+,-,+,-,+
I511,s6138852,+,-,+,+,+,-,+,+,-,+,-,+,-,+,+,+,+,+,-,-,+,-,-
I511,s268362,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,+,-,+,-
I511,s4520692,+,-,-,-,+,-,-,+,+,+,+,+,-,+,-,+,+,+,+,-,+,-,-
I511,s2935625,-,+,-,+,+,-,-,+,+,-,-,+,-,+,+,-,+,-,-,+,-,-,+
I511,s4292609,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+
I511,s1942346,-,-,+,+,+,-,+,+,-,+,-,-,-,+,+,-,+,-,-,+,-,+,-
I511,s4934061,+,-,-,+,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,+,+,-,+
I511,s7831178,+,+,+,-,+,+,+,-,+,+,+,+,+,+,-,+,-,-,-,+,-,+,-
I511,s6336790,+,+,-,-,-,-,-,+,-,+,+,-,-,-,+,-,-,-,+,-,+,+,-
I511,s5090203,+,-,-,+,+,-,+,+,-,+,-,+,-,+,+,+,-,-,+,+,-,+,+
I511,s4638708,+,-,-,-,+,+,-,+,+,-,-,-,+,+,+,+,+,+,+,-,+,-,-
I511,s5473829,+,-,+,-,-,+,+,+,-,-,-,-,+,+,-,-,-,+,-,-,+,-,+
I511,s7795371,+,+,+,-,+,+,-,+,+,+,+,-,-,+,-,+,-,+,-,+,-,+,+
I511,s5367174,+,-,+,-,-,-,+,+,+,+,-,-,+,-,+,+,-,-,-,-,+,+,-
I511,s8285645,+,+,+,+,+,+,-,-,+,+,-,+,+,-,+,+,+,-,-,+,+,-,+
I511,s837321,-,-,-,+,+,-,-,+,+,-,-,-,+,+,-,+,+,-,-,+,-,-,+
I511,s5916493,+,-,+,+,-,+,-,-,+,-,-,-,+,+,+,-,+,-,-,+,+,-,+
I511,s7735831,+,+,+,-,+,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,+,+,+
I511,s4379513,+,-,-,-,-,+,-,+,+,-,+,-,-,+,+,-,+,+,+,+,-,-,+
I511,s6681454,+,+,-,-,+,-,+,+,+,+,+,-,-,+,+,-,+,+,-,+,+,+,-
I511,s142541,-,-,-,-,-,+,-,-,-,+,-,+,+,-,-,+,+,-,-,+,+,-,+
I511,s8207,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,+,+,+
I511,s3153178,-,+,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,+,-,+,-
I511,s673625,-,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,-,+,+,-,-,+
I511,s2104544,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,+,+,+,-,-,-,-,-
I512,s8340142,+,+,+,+,+,+,+,-,+,-,-,-,-,+,-,+,-,+,-,+,+,+,-
I512,s1204213,-,-,+,-,-,+,-,-,+,-,+,+,+,+,+,+,+,+,+,-,+,-,+
I512,s77735,-,-,-,-,-,-,+,-,-,+,-,+,+,+,+,+,-,+,-,-,+,+,+
I512,s504802,-,-,-,-,+,+,+,+,-,+,+,-,-,+,+,+,+,+,-,-,-,+,-
I512,s463376,-,-,-,-,+,+,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-
I512,s202251,-,-,-,-,-,+,+,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,+
I512,s256848,-,-,-,-,-,+,+,+,+,+,-,+,-,+,+,-,+,-,+,-,-,-,-
I512,s2491723,-,+,-,-,+,+,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,+,+
I512,s1349904,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,-,-,-,+,-,-,-,-
I512,s3034281,-,+,-,+,+,+,-,-,+,-,-,+,+,-,-,+,-,+,-,+,-,-,+
I512,s2349864,-,+,-,-,-,+,+,+,+,-,+,+,-,+,+,-,-,+,-,+,-,-,-
I512,s3514739,-,+,+,-,+,-,+,+,-,+,-,-,-,-,+,-,+,+,+,-,-,+,+
I512,s5201903,+,-,-,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,-,+,+,+,+
I512,s1846205,-,-,+,+,+,-,-,-,-,+,-,+,-,+,+,+,-,+,+,+,+,-,+
I512,s5859806,+,-,+,+,-,-,+,-,+,+,-,+,-,-,+,+,+,-,+,+,+,+,-
I512,s5487616,+,-,+,-,-,+,+,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-
I512,s3068710,-,+,-,+,+,+,-,+,+,-,+,-,-,+,+,-,-,+,-,-,+,+,-
I512,s4607048,+,-,-,-,+,+,-,-,+,-,-,+,+,-,-,-,+,-,-,+,-,-,-
I512,s4675999,+,-,-,-,+,+,+,-,+,-,+,+,-,-,+,+,-,-,+,+,+,+,+
I512,s4282231,+,-,-,-,-,-,+,-,+,-,+,-,+,+,+,-,+,+,+,-,+,+,+
I512,s7124073,+,+,-,+,+,-,-,+,-,+,+,-,+,-,-,-,+,+,-,+,-,-,+
I512,s3839911,-,+,+,+,-,+,-,+,-,-,+,-,+,+,+,+,-,+,-,-,+,+,+
I512,s2481258,-,+,-,-,+,-,+,+,+,-,+,+,+,-,-,-,+,+,-,+,-,+,-
I512,s7006430,+,+,-,+,-,+,-,+,+,+,-,+,-,-,-,+,+,-,+,+,+,+,-
I512,s7797650,+,+,+,-,+,+,-,+,+,+,+,+,-,+,+,+,-,-,+,-,-,+,-
I512,s8193789,+,+,+,+,+,-,+,-,-,-,-,-,+,+,-,+,+,+,+,+,+,-,+
I512,s2768980,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,+,-,+,-,-
I512,s5642800,+,-,+,-,+,+,-,-,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-
I512,s1245392,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-
I512,s6972584,+,+,-,+,-,+,-,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,-
I512,s5173157,+,-,-,+,+,+,-,+,+,+,-,+,+,+,+,+,-,+,-,-,+,-,+
I512,s6798545,+,+,-,-,+,+,+,+,-,+,+,+,+,-,-,+,+,-,+,-,-,-,+
I512,s1666527,-,-,+,+,-,-,+,-,+,+,-,+,+,-,+,+,+,-,+,+,+,+,+
I512,s2517653,-,+,-,-,+,+,-,-,+,+,-,+,-,+,-,+,-,-,+,-,+,-,+
I512,s3403296,-,+,+,-,-,+,+,+,+,+,-,+,+,+,-,-,-,+,-,-,-,-,-
