"SEGMENT","ALTERNATE_NAMES","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29"
"S13","I279","+","-","-","+","-","+","+","-","-","-","-","-","+","-","+","+","-","-","+","+","-","-","-","+","+","-","-","+","+"
"S14","I279","-","+","+","+","+","-","+","+","-","+","-","-","-","+","-","+","+","+","-","-","-","+","+","-","-","+","-","+","-"
"S1","I280","-","-","-","+","-","-","+","-","+","+","+","+","+","+","+","+","-","+","-","+","+","-","-","-","-","+","-","-","-"
"S2","I280","+","+","-","-","-","+","+","-","-","+","+","-","-","-","-","+","-","+","-","+","+","-","-","+","-","-","+","+","+"
"S3","I280","-","+","+","-","-","-","-","-","+","+","+","+","+","-","-","-","+","+","-","+","-","+","-","+","+","+","+","-","-"
"S4","I280","-","+","-","-","-","+","+","+","-","-","-","+","-","+","+","+","-","-","-","+","-","-","-","+","+","-","+","+","+"
"S5","I280","+","+","+","+","-","+","+","+","-","+","+","-","-","+","+","+","+","+","-","+","+","+","-","+","+","-","+","-","+"
"S6","I280","+","-","+","+","-","+","+","+","-","-","+","+","+","+","-","-","-","-","+","+","+","+","+","-","+","+","-","-","+"
"S7","I280","-","-","-","+","-","-","+","-","+","+","-","+","-","+","+","+","+","-","+","+","-","-","-","-","+","-","-","+","-"
"S8","I280","-","+","+","+","-","-","+","+","-","-","+","-","+","-","-","+","+","+","-","+","+","-","+","+","-","+","-","+","-"
"S9","I280","+","-","+","-","+","+","+","+","-","+","+","+","+","-","-","+","-","-","-","+","-","+","-","+","-","+","+","+","-"
"S10","I280","+","-","+","+","+","+","-","-","+","-","+","-","-","+","-","+","+","-","-","+","-","-","-","-","+","+","-","-","+"
"S11","I280","+","+","-","+","-","+","-","-","+","+","+","+","+","-","-","-","-","-","+","-","+","-","-","+","-","+","+","+","+"
"S12","I280","+","+","+","+","-","-","-","-","-","-","+","-","-","+","+","-","+","+","+","-","+","-","-","-","+","-","-","-","+"
"S13","I280","-","+","-","+","-","-","-","-","+","-","-","-","-","-","+","-","-","+","+","+","-","+","-","-","+","+","+","-","+"
"S14","I280","-","+","-","+","-","-","-","+","+","-","+","+","+","+","+","-","+","+","-","-","+","-","+","+","+","+","-","+","+"
"S1","I281","-","+","-","-","-","+","-","+","-","-","-","+","-","+","+","-","+","-","+","-","-","-","+","+","-","+","-","+","+"
"S2","I281","+","-","+","-","+","-","+","+","-","+","+","+","+","+","+","-","-","-","-","-","-","+","-","+","+","+","+","+","-"
"S3","I281","+","-","-","+","+","-","-","-","-","-","+","+","+","-","-","+","+","+","-","+","+","+","-","+","-","-","+","-","-"
"S4","I281","+","-","-","-","-","-","+","+","+","-","+","-","+","+","-","-","-","-","-","-","-","+","-","+","+","-","-","-","+"
"S5","I281","+","+","-","-","+","+","+","-","-","-","+","-","+","-","+","-","+","+","-","+","-","+","-","-","+","+","-","-","-"
"S6","I281","-","-","+","+","-","+","+","-","+","-","+","+","+","+","-","-","-","+","-","-","-","+","+","+","-","+","+","+","-"
"S7","I281","+","+","-","+","+","-","-","+","-","-","-","+","+","-","+","-","+","-","-","+","+","+","-","+","+","+","-","-","-"
"S8","I281","-","-","-","-","+","+","-","+","+","-","+","-","-","-","-","+","+","+","-","-","+","-","+","+","-","-","+","-","-"
"S9","I281","-","+","-","-","-","-","-","+","-","-","-","-","-","+","+","+","+","+","+","-","-","-","-","-","-","+","-","-","+"
"S10","I281","-","+","+","-","-","+","+","-","-","+","+","+","-","-","-","+","-","+","-","-","-","+","+","+","+","+","-","+","-"
"S11","I281","+","+","+","-","-","+","-","-","-","-","+","-","-","+","+","+","-","+","+","+","+","+","+","-","-","+","+","+","+"
"S12","I281","+","+","-","-","-","-","+","-","+","+","+","-","-","-","+","-","-","+","-","-","-","+","+","-","-","-","-","+","-"
"S13","I281","-","-","+","+","+","+","+","+","-","-","+","+","-","+","-","+","+","+","+","-","+","-","-","-","+","-","+","-","-"
"S14","I281","+","-","-","+","-","-","-","+","-","-","-","+","+","+","-","-","-","+","+","-","+","-","+","-","+","+","+","-","+"
"S1","I282","+","-","-","-","-","+","+","-","+","+","-","-","+","-","+","+","-","+","-","+","-","+","+","-","-","+","+","+","-"
"S2","I282","+","-","+","-","-","-","-","-","-","-","-","+","+","-","+","+","-","+","+","+","+","+","-","+","-","+","+","+","+"
"S3","I282","-","-","+","+","-","+","-","+","+","-","+","+","+","+","+","-","+","+","+","-","-","-","-","-","-","+","+","-","-"
"S4","I282","+","-","-","-","-","-","+","-","+","-","+","+","+","-","-","-","+","-","+","+","-","+","-","-","-","-","-","+","-"
"S5","I282","+","+","-","+","+","-","-","-","+","+","+","-","-","-","+","-","+","-","+","+","-","-","+","+","-","+","+","+","-"
"S6","I282","+","+","+","+","+","+","+","+","-","+","-","-","+","+","-","+","+","-","+","-","-","+","+","-","-","-","-","-","-"
"S7","I282","-","-","-","-","+","+","-","-","-","+","+","+","+","-","+","+","+","-","-","-","+","+","+","+","-","+","-","-","-"
"S8","I282","+","+","-","+","+","+","-","-","+","-","+","-","-","-","-","-","+","-","-","-","-","-","-","-","-","+","-","-","-"
"S9","I282","-","-","-","-","+","-","-","-","+","-","+","+","-","-","-","-","-","-","+","-","+","-","+","-","+","-","+","-","+"
"S10","I282","+","+","-","-","-","+","+","+","-","-","-","-","-","-","-","-","+","-","+","+","-","-","-","-","+","+","+","-","+"
"S11","I282","+","+","+","-","-","+","+","+","-","-","+","+","-","-","-","-","+","-","+","+","-","-","-","-","+","+","-","+","+"
"S12","I282","-","+","+","+","+","+","+","+","+","+","-","-","-","+","+","-","-","+","+","+","+","-","-","-","+","-","+","+","+"
"S13","I282","-","+","+","-","+","+","-","+","+","-","+","+","-","-","-","+","-","+","+","-","+","-","-","+","-","-","+","+","-"
"S14","I282","-","+","-","+","+","-","+","+","-","-","+","-","+","+","+","-","+","+","+","+","+","-","-","+","+","-","+","+","+"
"S1","I283","+","+","+","-","-","+","+","-","-","+","+","-","+","+","-","-","-","+","+","+","+","+","-","-","-","-","+","+","-"
"S2","I283","-","-","-","+","+","-","+","+","-","+","-","+","+","-","-","-","+","-","-","-","-","+","-","+","+","-","+","-","-"
"S3","I283","-","+","+","-","+","+","-","-","-","-","-","+","-","-","+","+","+","+","+","+","-","+","-","-","-","-","-","+","+"
"S4","I283","+","+","+","-","-","+","+","+","-","+","-","-","-","+","-","-","+","-","+","-","+","-","+","+","-","-","-","+","-"
"S5","I283","-","-","+","-","+","+","+","+","+","+","-","-","-","+","-","-","-","-","-","+","-","-","-","-","+","+","-","+","-"
"S6","I283","+","-","+","+","-","+","-","-","+","-","-","-","-","-","+","+","+","-","-","+","-","-","-","-","+","+","-","-","+"
"S7","I283","-","-","-","-","-","+","-","-","-","+","-","-","-","-","+","+","-","-","-","+","-","+","+","+","+","+","+","-","-"
"S8","I283","+","+","-","-","+","+","-","+","-","-","-","-","-","+","+","+","+","+","-","+","+","-","+","-","-","-","+","+","+"
"S9","I283","+","+","+","+","-","+","-","-","-","+","-","-","-","-","+","-","-","-","-","-","+","+","-","-","-","-","+","+","+"
"S10","I283","-","+","+","+","-","-","+","+","+","+","-","+","+","-","-","+","+","+","+","-","+","-","-","+","+","-","+","-","+"
"S11","I283","-","-","+","+","-","-","-","+","+","+","-","+","-","-","+","+","-","-","+","-","-","-","+","-","+","-","-","+","-"
"S12","I283","+","-","+","-","+","+","+","-","+","-","-","+","+","-","+","+","-","-","-","-","+","+","+","-","-","-","+","+","-"
"S13","I283","+","+","-","+","-","+","-","+","+","-","+","+","-","-","+","-","-","+","+","+","+","+","+","-","+","+","-","-","+"
"S14","I283","+","+","+","+","+","+","-","-","+","+","-","-","-","-","-","-","-","+","-","+","-","-","+","+","+","-","+","-","+"
"S1","I284","+","+","+","-","+","-","-","-","+","-","+","+","+","+","-","-","+","+","+","+","+","+","-","+","+","+","-","+","+"
"S2","I284","+","+","-","+","-","+","-","-","-","+","-","-","-","+","+","-","+","+","-","-","+","-","-","+","+","-","+","+","-"
"S3","I284","-","-","-","+","+","+","+","+","+","-","+","+","-","+","+","-","+","-","+","+","-","+","+","-","-","-","+","+","-"
"S4","I284","+","+","-","+","+","-","+","+","+","+","+","-","+","+","+","-","+","+","-","-","+","+","+","+","+","+","+","-","+"
"S5","I284","+","-","+","-","+","-","+","+","-","+","-","-","+","+","+","+","+","-","-","+","+","-","+","+","+","-","+","+","-"
"S6","I284","+","-","-","+","-","-","-","+","-","-","-","-","+","-","+","+","+","-","-","-","-","-","-","-","+","-","-","+","+"
"S7","I284","-","+","-","+","-","-","-","-","-","+","+","+","+","+","+","+","+","+","+","-","-","-","+","+","+","+","+","+","-"
"S8","I284","+","+","-","+","-","+","+","-","-","-","+","+","-","-","-","+","+","+","+","+","-","+","-","-","+","+","-","+","-"
"S9","I284","+","+","+","-","-","+","+","-","-","+","-","-","-","-","-","+","+","-","-","+","+","-","+","-","+","-","+","+","-"
"S10","I284","-","+","-","+","-","-","-","-","-","+","+","+","+","-","+","+","+","+","-","-","-","-","-","-","-","+","-","+","+"
"S11","I284","-","+","-","+","+","-","-","-","-","+","+","-","-","+","+","+","-","-","-","+","-","+","-","-","-","-","+","+","-"
"S12","I284","+","+","-","+","+","-","+","+","+","+","-","-","+","-","-","+","-","-","-","-","+","-","-","+","-","-","+","+","+"
"S13","I284","-","+","+","+","+","+","+","-","+","-","+","+","-","+","-","-","+","+","-","-","-","-","+","+","-","-","-","-","-"
"S14","I284","+","+","-","-","+","+","+","-","+","+","+","-","+","+","+","+","+","+","-","-","+","-","+","-","-","-","+","-","+"
"S1","I285","+","+","+","-","-","+","+","-","-","+","+","+","+","+","-","-","+","-","+","+","-","-","-","+","-","+","-","-","-"
"S2","I285","+","-","+","-","+","+","+","-","+","+","+","+","+","-","-","+","-","+","-","+","+","-","+","+","+","+","-","+","-"
"S3","I285","-","+","+","-","+","+","-","+","-","-","-","+","+","-","+","+","+","+","-","-","-","+","+","-","-","-","+","+","+"
"S4","I285","-","+","-","-","+","+","+","+","-","+","+","-","-","+","-","+","+","+","+","-","-","-","-","-","-","+","+","+","-"
"S5","I285","-","-","-","-","-","+","+","+","+","-","+","+","+","+","-","-","-","-","+","+","+","+","+","+","-","+","+","+","+"
"S6","I285","-","-","-","-","+","+","-","-","+","+","+","+","+","-","+","-","+","+","+","+","+","+","-","+","-","-","-","+","-"
"S7","I285","+","-","-","+","-","-","+","+","-","+","-","-","-","-","-","-","-","+","-","+","+","-","+","-","+","-","-","-","-"
"S8","I285","+","-","+","-","+","+","+","+","-","-","+","+","-","+","-","+","-","-","+","+","+","-","-","-","-","+","+","+","+"
"S9","I285","+","+","-","+","+","-","+","+","+","-","-","+","-","-","-","-","+","+","+","-","+","+","-","-","-","+","-","+","+"
"S10","I285","-","-","+","+","+","-","+","+","+","+","-","-","-","+","-","-","+","-","+","-","+","+","-","-","-","+","+","-","+"
"S11","I285","-","-","+","+","-","+","+","+","-","-","+","+","-","+","-","+","+","+","-","+","+","-","+","-","-","+","-","-","-"
"S12","I285","+","+","+","-","+","-","+","+","+","+","-","-","-","-","+","+","-","+","-","-","+","+","-","-","-","-","-","-","-"
"S13","I285","-","+","+","-","-","+","-","+","+","+","+","+","+","-","-","-","-","-","+","+","+","-","-","-","+","-","-","+","+"
"S14","I285","-","-","-","-","-","+","-","+","-","-","+","+","+","+","+","-","-","+","+","-","-","-","-","+","-","-","+","+","+"
"S1","I286","-","+","-","+","-","-","-","+","+","+","-","-","+","-","+","-","+","+","+","+","+","-","+","-","+","-","-","+","-"
"S2","I286","-","+","-","+","-","+","+","+","+","-","-","+","-","+","-","-","+","-","+","-","+","-","-","-","-","-","+","+","+"
"S3","I286","+","-","-","-","-","+","+","-","+","-","-","-","+","+","-","+","-","+","+","+","-","-","+","-","+","-","+","+","+"
"S4","I286","+","+","-","-","+","+","+","+","-","-","-","-","-","-","-","-","-","-","+","-","-","+","-","-","+","+","+","+","+"
"S5","I286","+","-","+","-","+","-","+","+","-","-","-","+","+","+","+","-","+","+","-","-","+","+","+","-","-","+","-","-","+"
"S6","I286","-","+","-","-","+","+","-","-","-","-","+","+","-","+","+","+","+","+","-","+","+","-","+","+","-","-","-","-","+"
"S7","I286","+","-","+","-","-","+","-","-","+","-","+","+","-","+","-","+","-","+","+","-","-","-","-","-","+","-","+","+","+"
"S8","I286","+","+","+","-","+","+","-","+","-","-","-","+","+","-","+","+","-","+","-","+","+","+","+","+","+","-","-","+","-"
"S9","I286","-","-","+","-","-","-","-","+","+","+","+","-","+","+","+","+","-","+","+","-","-","-","+","+","+","-","+","-","+"
"S10","I286","+","-","-","+","+","+","+","-","+","+","+","+","+","-","+","+","+","-","-","-","-","+","-","+","-","+","-","+","+"
"S11","I286","+","+","-","-","-","+","+","-","+","-","+","+","-","-","+","+","-","+","+","+","+","-","-","+","-","+","+","+","-"
"S12","I286","-","-","-","+","+","+","+","+","+","-","+","-","-","-","-","+","-","-","-","+","-","-","-","-","+","+","+","+","+"
"S13","I286","-","+","-","+","+","-","-","-","-","+","-","+","-","-","+","+","+","+","+","-","+","-","+","+","-","+","+","+","+"
"S14","I286","+","+","+","-","-","-","-","-","-","-","+","-","-","-","+","+","+","-","-","+","-","-","+","+","+","-","-","+","-"
"S1","I287","+","+","+","-","-","-","+","-","-","-","-","+","+","-","+","+","-","-","-","-","+","-","+","+","+","+","+","+","-"
"S2","I287","+","-","+","+","-","-","-","-","+","-","+","+","+","-","+","+","-","+","-","+","+","+","+","+","+","+","-","-","-"
"S3","I287","+","+","-","+","+","-","-","+","+","+","+","-","-","+","+","+","-","-","+","-","+","-","+","-","+","+","+","+","-"
"S4","I287","-","+","+","+","-","+","+","-","+","+","-","-","-","+","-","+","-","+","+","-","+","+","-","-","-","-","+","+","-"
"S5","I287","-","-","+","+","-","-","-","-","-","-","-","+","-","-","-","-","+","-","-","+","+","+","+","-","-","+","-","-","+"
"S6","I287","+","-","+","-","-","+","-","-","-","-","-","+","-","+","-","-","+","-","+","+","-","+","+","-","-","+","-","+","-"
"S7","I287","+","-","-","-","-","+","-","-","+","-","-","+","-","-","-","-","+","-","-","+","+","-","+","-","+","-","-","-","+"
"S8","I287","-","+","-","+","+","-","-","-","-","+","+","-","-","+","-","+","-","-","-","+","-","-","+","+","+","+","-","+","-"
"S9","I287","+","+","-","-","+","-","+","-","-","+","-","+","-","-","-","-","+","-","-","-","-","-","-","-","+","+","+","-","-"
"S10","I287","+","-","+","+","-","-","+","-","-","+","-","-","-","-","-","-","-","+","-","+","-","+","+","+","-","-","-","+","-"
"S11","I287","+","+","-","+","-","-","-","+","+","-","-","-","-","+","+","+","-","+","-","+","-","-","+","-","-","-","-","+","-"
"S12","I287","-","-","+","-","+","-","-","-","+","-","+","-","-","+","+","-","-","-","-","-","+","-","-","-","-","-","-","+","-"
"S13","I287","+","-","-","+","-","+","+","+","-","+","-","-","+","+","-","-","-","-","+","+","-","+","+","+","+","+","-","+","+"
"S14","I287","-","+","-","-","+","+","+","+","-","+","-","-","-","-","-","-","-","+","-","+","-","-","+","-","-","-","-","-","+"
"S1","I288","-","+","-","-","+","+","-","-","-","+","+","-","+","+","-","+","+","+","-","+","+","+","+","-","-","+","+","+","+"
"S2","I288","-","+","-","+","-","+","-","+","+","-","-","-","+","+","+","-","+","+","+","-","+","+","-","-","+","+","-","-","+"
"S3","I288","+","-","+","-","-","-","+","-","+","+","-","-","-","+","-","-","-","+","+","+","-","+","-","+","+","-","+","-","+"
"S4","I288","-","+","-","+","+","+","-","-","-","+","-","-","-","-","-","+","+","+","+","+","+","-","-","+","-","-","+","-","-"
"S5","I288","-","+","+","+","+","+","-","-","-","+","+","+","+","-","-","-","-","+","+","+","+","+","-","+","-","-","-","-","-"
"S6","I288","-","-","+","+","-","+","-","+","-","+","-","-","+","-","+","+","+","-","+","+","+","-","+","+","-","+","+","+","-"
"S7","I288","-","+","+","+","+","-","+","+","-","+","-","-","+","-","-","-","+","+","-","-","-","+","-","+","+","-","-","+","+"
"S8","I288","-","+","+","-","+","+","-","+","-","-","-","+","+","+","-","+","-","+","-","+","-","+","+","+","+","-","-","-","+"
"S9","I288","+","-","-","+","-","-","+","-","+","+","+","+","+","+","+","-","+","-","-","+","+","-","-","-","-","-","+","+","-"
"S10","I288","+","-","-","-","-","-","+","-","-","-","+","-","-","+","-","+","+","+","-","-","+","+","-","+","+","-","-","-","+"
"S11","I288","-","-","-","+","+","+","-","+","-","-","+","+","-","-","+","+","+","+","+","+","-","+","+","-","+","+","+","-","+"
"S12","I288","+","-","-","+","+","-","-","-","+","-","+","+","-","-","-","+","+","+","-","-","+","+","-","+","+","-","-","+","-"
"S13","I288","+","+","+","-","+","+","-","+","+","+","-","-","-","+","-","-","+","-","-","-","-","+","+","-","+","+","-","+","+"
"S14","I288","-","-","+","-","-","-","-","-","+","+","+","-","+","+","-","-","+","-","+","-","+","+","+","-","-","-","+","+","-"
"S1","I289","-","-","-","+","+","-","+","-","+","+","+","-","+","-","-","+","-","+","-","-","-","-","+","+","-","-","+","-","-"
"S2","I289","+","+","-","+","-","-","-","+","-","+","-","-","+","+","+","+","-","-","+","+","+","-","-","-","+","+","-","-","+"
"S3","I289","+","-","-","-","-","+","-","+","+","-","+","+","+","-","+","+","+","+","+","+","-","+","+","-","-","+","-","-","-"
"S4","I289","-","+","+","-","+","-","-","+","-","+","-","-","-","-","-","-","-","+","+","-","-","+","-","+","-","-","+","+","+"
"S5","I289","+","-","+","+","+","+","-","+","+","+","-","+","+","+","-","-","+","-","+","-","-","+","+","-","-","+","+","+","-"
"S6","I289","+","-","-","+","-","+","-","+","+","+","+","-","+","-","+","-","-","+","+","-","+","-","-","-","-","+","+","-","-"
"S7","I289","+","+","-","+","-","+","-","+","+","-","-","+","+","-","+","+","+","-","+","+","-","+","+","+","+","+","+","-","+"
"S8","I289","+","+","-","-","+","-","-","+","-","-","-","+","-","-","-","+","-","+","-","+","-","-","-","+","-","-","-","-","+"
"S9","I289","-","-","+","-","+","+","+","-","-","+","+","-","-","-","-","+","+","-","+","+","-","-","-","+","-","-","-","+","+"
"S10","I289","-","-","+","-","+","-","+","-","+","+","+","-","+","+","-","+","-","+","-","-","-","-","-","+","-","+","+","-","-"
"S11","I289","-","-","+","-","+","+","-","-","-","-","-","+","+","+","+","+","+","-","-","-","+","-","+","-","-","+","-","-","+"
"S12","I289","-","-","-","+","-","-","-","+","-","+","+","-","+","+","-","-","-","+","+","-","+","+","-","+","+","-","-","-","+"
"S13","I289","-","+","+","-","+","-","-","-","-","+","-","+","-","-","+","+","-","-","+","-","+","-","+","+","-","+","+","-","+"
"S14","I289","-","-","-","+","+","-","+","-","+","-","-","-","-","-","+","+","-","-","-","-","+","-","+","+","+","-","-","+","-"
"S15","I289","-","-","-","+","+","+","+","-","-","+","+","-","-","+","+","+","+","-","-","+","-","+","-","-","+","-","-","+","-"
"S1","I290","-","-","+","-","+","-","-","-","+","+","-","+","-","+","+","-","+","+","-","+","+","+","-","-","+","+","+","-","+"
"S2","I290","+","-","-","-","-","-","-","-","+","+","+","-","+","-","+","-","+","-","+","+","-","-","+","+","+","-","-","+","+"
"S3","I290","-","+","+","+","-","-","+","-","-","-","+","-","+","+","+","-","-","+","+","+","+","-","+","+","+","+","+","+","-"
"S4","I290","-","+","-","-","-","+","-","+","-","-","+","-","+","+","-","+","-","+","+","+","+","-","-","-","-","+","+","+","-"
"S5","I290","+","+","+","+","-","-","-","+","-","-","-","-","-","+","+","+","-","-","+","-","-","+","-","-","-","-","+","-","-"
"S6","I290","-","+","-","+","-","-","-","-","-","-","+","-","-","+","-","+","-","-","+","-","-","-","-","+","-","-","-","-","-"
"S7","I290","-","-","-","-","-","+","+","+","-","+","-","-","+","+","+","+","+","+","-","+","+","-","+","+","-","+","-","+","-"
"S8","I290","+","+","+","-","-","+","-","-","-","+","+","+","+","-","-","-","+","+","+","-","-","-","+","-","-","+","-","-","+"
"S9","I290","-","+","-","-","+","+","+","-","+","+","+","+","-","-","+","+","+","+","-","-","+","+","+","+","-","-","+","-","-"
"S10","I290","-","-","-","-","+","-","+","-","-","-","-","+","-","-","-","-","-","-","-","-","-","+","-","-","+","+","+","+","-"
"S11","I290","+","-","+","-","+","-","-","-","-","+","+","+","+","-","+","-","+","+","-","-","-","-","+","-","-","+","+","+","+"
"S12","I290","+","-","+","-","-","+","-","-","-","-","+","+","-","-","+","+","-","+","-","-","+","+","-","+","-","+","+","+","+"
"S13","I290","+","-","-","-","+","-","-","-","+","-","+","-","+","+","-","+","+","+","-","+","-","+","+","+","+","-","+","-","-"
"S14","I290","-","+","-","-","-","+","+","+","+","+","+","-","-","-","-","-","+","+","+","+","+","-","-","-","-","+","+","-","-"
"S15","I290","-","+","-","+","-","-","-","-","+","-","+","-","+","+","+","-","+","-","+","+","+","+","-","-","-","-","+","+","+"
"S1","I291","+","+","-","-","+","+","+","+","-","-","+","+","-","-","-","+","-","+","+","-","-","+","+","+","-","+","+","-","+"
"S2","I291","+","+","+","-","-","-","+","-","-","-","+","-","-","+","-","+","-","-","-","+","+","-","+","-","-","+","-","-","-"
"S3","I291","+","+","-","-","+","+","+","-","-","+","-","+","-","-","-","+","+","-","-","+","+","-","-","+","+","-","+","-","+"
"S4","I291","+","-","+","+","-","-","+","+","-","-","+","-","-","+","-","+","+","-","-","-","+","+","-","+","-","+","+","-","-"
"S5","I291","+","-","+","-","+","-","+","+","-","-","-","-","+","+","+","-","+","-","+","-","+","-","+","+","+","-","+","-","+"
"S6","I291","-","+","-","-","-","+","+","-","+","+","+","+","+","-","+","-","-","+","-","+","+","+","+","+","-","-","-","-","-"
"S7","I291","+","-","+","-","-","-","+","-","-","-","+","+","-","+","+","+","-","-","-","+","-","-","+","-","-","+","-","+","+"
"S8","I291","-","-","-","-","-","-","+","-","-","+","-","-","+","+","+","+","+","-","+","+","+","-","+","-","+","-","+","+","-"
"S9","I291","-","-","-","-","+","-","-","+","-","-","-","+","-","+","+","-","-","-","+","+","-","-","-","-","+","+","+","+","-"
"S10","I291","+","-","-","-","-","+","-","-","-","-","+","-","-","-","-","+","+","+","-","+","+","+","-","-","+","+","+","-","+"
"S11","I291","-","+","-","+","-","+","+","-","-","+","+","+","+","+","+","-","+","-","-","-","-","-","-","-","-","-","+","-","+"
"S12","I291","+","-","-","-","-","+","+","-","+","-","-","-","+","-","+","+","+","-","-","+","+","+","-","-","-","-","+","-","+"
"S13","I291","-","-","+","-","+","-","+","-","+","-","-","+","-","+","+","+","+","-","-","+","-","-","-","-","+","-","-","-","-"
"S14","I291","-","-","+","+","+","-","+","-","-","+","+","-","-","-","-","-","-","+","+","+","+","+","+","-","+","-","+","-","+"
"S15","I291","-","-","-","+","+","+","+","-","+","-","+","-","+","-","-","-","-","-","-","-","+","+","-","-","+","+","+","-","-"
"S1","I292","+","+","-","-","+","-","+","-","+","+","+","-","-","-","+","+","-","-","+","+","-","-","+","+","-","-","-","-","-"
"S2","I292","+","+","-","+","+","+","+","+","+","-","+","-","+","+","-","-","-","-","-","-","-","-","+","-","+","+","-","+","+"
"S3","I292","-","-","-","-","+","-","+","-","-","+","+","+","-","-","+","-","+","-","+","-","+","+","-","-","-","-","-","+","-"
"S4","I292","-","+","-","+","+","-","-","-","+","-","+","-","-","+","+","-","+","+","+","+","-","+","+","-","-","-","-","+","+"
"S5","I292","-","+","+","-","+","-","+","-","+","+","-","-","-","+","-","+","-","+","+","+","+","-","-","+","-","-","-","+","-"
"S6","I292","+","-","-","-","+","+","+","+","-","+","+","+","+","-","+","+","-","+","+","-","+","+","+","-","+","+","+","+","-"
"S7","I292","-","-","-","-","-","-","+","+","+","-","+","+","+","+","-","+","+","+","+","-","-","-","-","+","-","+","-","-","-"
"S8","I292","-","+","+","-","+","-","+","+","-","-","-","+","+","-","+","-","+","-","-","+","-","-","-","-","+","-","-","-","+"
"S9","I292","+","-","-","+","-","+","-","-","+","+","+","-","-","+","-","-","-","+","+","-","+","+","-","-","-","+","+","+","+"
"S10","I292","+","-","-","+","-","+","+","-","-","-","-","+","+","-","+","+","-","+","-","+","-","-","+","-","-","-","+","+","-"
"S11","I292","-","-","+","-","+","-","+","+","-","-","+","+","+","+","+","+","-","-","+","-","+","-","+","-","-","-","+","-","+"
"S12","I292","-","+","-","-","+","+","+","+","-","-","-","+","+","+","+","-","-","-","-","-","+","+","+","-","+","+","+","+","-"
"S13","I292","-","+","+","-","+","-","-","+","+","+","-","-","+","+","-","+","+","-","+","-","-","-","+","-","+","+","-","-","+"
"S14","I292","-","+","-","-","+","-","-","-","+","+","-","+","+","-","+","+","-","+","-","-","+","-","+","+","-","+","-","+","-"
"S15","I292","-","-","+","+","-","+","+","-","-","+","+","+","+","-","-","+","-","-","+","-","-","+","+","+","+","-","+","-","+"
"S1","I293","-","+","-","+","-","+","-","-","-","-","-","-","-","-","+","-","+","+","+","-","-","-","+","-","-","-","+","+","+"
"S2","I293","+","-","+","+","+","-","-","+","-","+","-","-","+","+","-","-","+","-","+","-","+","-","+","+","-","-","-","-","-"
"S3","I293","-","-","-","-","+","-","-","+","+","-","-","-","+","-","+","+","+","+","+","-","+","-","+","-","-","-","-","+","-"
"S4","I293","-","+","-","+","-","+","-","-","+","-","-","+","-","+","-","+","-","-","-","-","-","+","-","+","-","-","-","-","-"
"S5","I293","+","+","-","+","+","-","-","+","+","-","+","-","+","+","+","-","-","+","+","-","+","-","-","-","-","-","+","-","-"
"S6","I293","-","+","+","-","+","-","-","+","+","-","-","-","+","-","-","+","-","+","-","+","-","-","+","-","+","-","-","+","+"
"S7","I293","-","-","+","+","+","+","+","+","+","-","+","-","-","-","-","-","-","+","-","-","-","-","+","+","+","+","-","+","+"
"S8","I293","+","+","+","-","-","-","+","+","+","+","-","+","+","-","+","-","+","-","+","+","-","-","-","-","+","+","+","-","+"
"S9","I293","+","-","-","-","-","+","+","-","+","-","+","-","-","-","-","-","-","-","+","-","+","-","-","-","+","-","+","-","+"
"S10","I293","-","+","+","+","+","-","-","-","-","+","-","+","-","-","+","-","+","-","+","+","+","+","+","+","+","+","-","-","+"
"S11","I293","-","+","-","+","+","+","+","+","+","-","+","-","+","+","+","+","-","+","-","-","-","+","+","-","-","+","+","-","-"
"S12","I293","-","+","-","-","+","-","+","+","+","+","-","+","+","-","-","-","-","-","-","-","-","-","+","+","+","+","+","-","-"
"S13","I293","-","+","+","-","+","+","-","+","-","+","-","-","+","-","-","+","+","-","-","+","-","+","+","-","-","+","-","-","+"
"S14","I293","+","+","+","+","-","+","+","-","+","-","-","-","+","-","-","-","-","-","-","-","+","-","-","+","-","+","-","+","+"
"S15","I293","+","-","-","-","-","+","+","+","-","-","-","-","+","+","-","-","-","+","-","+","-","+","-","-","+","+","-","-","-"
"S1","I294","-","-","-","-","+","+","+","+","+","+","-","+","-","+","-","+","-","+","-","+","-","+","+","+","-","+","-","-","-"
"S2","I294","+","-","-","+","-","-","+","-","+","+","-","-","-","-","+","-","-","-","+","+","+","+","-","-","-","+","-","-","-"
"S3","I294","+","+","+","-","-","+","-","+","-","+","-","+","+","+","-","-","+","-","+","+","+","+","-","-","-","+","+","+","-"
"S4","I294","+","-","-","+","-","+","+","+","-","+","+","+","-","-","+","-","-","+","+","+","+","+","+","+","+","+","+","+","-"
"S5","I294","+","+","+","+","+","-","-","+","+","+","-","-","-","+","+","+","-","+","+","+","+","-","+","+","+","-","+","+","-"
"S6","I294","+","-","+","-","-","+","-","-","+","-","-","-","-","-","-","+","+","-","-","-","+","-","+","-","-","+","+","-","+"
"S7","I294","-","-","+","-","+","+","-","+","+","-","+","+","-","+","+","-","+","+","+","+","+","+","+","-","+","-","-","-","-"
